No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
41   46:24.288      5:36:37.134    5:36:37.422    0.288      0.288      Paused by player, Unpause by player
42   46:24.338      5:36:37.426    5:36:37.664    0.238      0.238      Paused by player, Unpause by player
43   46:24.388      5:36:37.668    5:36:37.894    0.226      0.226      Paused by player, Unpause by player
44   46:24.438      5:36:37.901    5:36:38.115    0.214      0.214      Paused by player, Unpause by player
45   46:24.488      5:36:38.119    5:36:38.333    0.214      0.214      Paused by player, Unpause by player
46   46:24.538      5:36:38.336    5:36:38.566    0.230      0.230      Paused by player, Unpause by player
47   46:24.588      5:36:38.570    5:36:38.779    0.209      0.209      Paused by player, Unpause by player
48   46:24.638      5:36:38.784    5:36:39.414    0.630      0.630      Paused by player, Unpause by player
49   46:24.788      5:36:39.562    5:36:39.810    0.248      0.248      Paused by player, Unpause by player
50   46:33.688      5:36:48.675    5:36:51.188    2.513      2.513      Paused by player, Unpause by player
51   46:39.438      5:36:56.938    5:37:01.755    4.817      4.817      Paused by player, Unpause by player
52   46:40.488      5:37:02.786    5:37:05.151    2.365      2.365      Paused by player, Unpause by player
53   47:26.538      5:37:51.170    5:37:59.066    7.896      7.896      Paused by player, Unpause by player
54   47:34.888      5:38:07.384    5:38:12.917    5.533      5.533      Paused by player, Unpause by player
55   47:37.238      5:38:15.276    5:39:02.101    46.825     46.825     Paused by player, Unpause by player
56   47:46.438      5:39:11.264    5:39:16.152    4.888      4.888      Paused by player, Unpause by player
57   47:56.538      5:39:26.229    5:39:31.123    4.894      4.894      Paused by player, Unpause by player
58   48:15.038      5:39:49.604    5:39:54.280    4.676      4.676      Paused by player, Unpause by player
59   48:21.838      5:40:01.036    5:40:08.074    7.038      7.038      Paused by player, Unpause by player
60   48:58.838      5:40:45.040    5:40:47.092    2.052      2.052      Paused by player, Unpause by player
61   49:10.138      5:40:58.355    5:41:04.125    5.770      5.770      Paused by player, Unpause by player
62   49:19.088      5:41:13.067    5:41:15.336    2.269      2.269      Paused by player, Unpause by player
63   49:23.238      5:41:19.462    5:41:29.057    9.595      9.595      Paused by player, Unpause by player
64   49:34.588      5:41:40.389    5:41:43.050    2.661      2.661      Paused by player, Unpause by player
65   49:39.638      5:41:48.070    5:41:54.831    6.761      6.761      Paused by player, Unpause by player
66   49:56.188      5:42:11.339    5:42:13.167    1.828      1.828      Paused by player, Unpause by player
67   50:01.038      5:42:17.999    5:42:22.630    4.631      4.631      Paused by player, Unpause by player
68   50:16.038      5:42:37.630    5:42:39.513    1.883      1.883      Paused by player, Unpause by player
69   50:22.338      5:42:45.779    5:42:50.792    5.013      5.013      Paused by player, Unpause by player
70   50:33.738      5:43:02.148    5:43:04.237    2.089      2.089      Paused by player, Unpause by player
71   50:39.238      5:43:09.703    5:43:14.977    5.274      5.274      Paused by player, Unpause by player
72   51:20.588      5:43:56.316    5:43:59.056    2.740      2.740      Paused by player, Unpause by player
73   51:37.188      5:44:15.610    5:44:19.805    4.195      4.195      Paused by player, Unpause by player
74   51:45.688      5:44:28.264    5:44:35.106    6.842      6.842      Paused by player, Unpause by player
75   52:37.988      5:45:27.369    5:45:29.366    1.997      1.997      Paused by player, Unpause by player
76   52:44.638      5:45:35.984    5:45:44.173    8.189      8.189      Paused by player, Unpause by player
77   54:12.738      5:47:12.252    5:47:15.612    3.360      3.360      Paused by player, Unpause by player
78   54:23.938      5:47:26.783    5:47:30.383    3.600      3.600      Paused by player, Unpause by player
79   54:34.238      5:47:40.652    5:47:45.417    4.765      4.765      Paused by player, Unpause by player
80   54:42.938      5:47:54.069    5:48:00.251    6.182      6.182      Paused by player, Unpause by player
81   57:24.538      5:50:41.824    5:50:56.199    14.375     14.375     Paused by player, Unpause by player
82   57:36.438      5:51:08.096    5:51:50.555    42.459     42.459     Paused by player, Unpause by player
83   57:59.238      5:52:13.373    5:52:13.461    0.088                 Paused by changed dimension, Unpause by rendered
84   58:08.746      5:52:22.975    5:52:23.130    0.155                 Paused by changed dimension, Unpause by rendered
0    58:42.895      5:52:57.285    5:56:43.384    226.099               Paused by player, Unpause by changed look direction
0    59:07.196      5:57:07.533    5:58:16.281    68.748                Paused by player, Unpause by changed look direction
