Tick 12412(12333), Delay 55 ms, IGT 10:16.321, RTA 15:07.786-15:07.841
Tick 12451(12372), Delay 55 ms, IGT 10:18.271, RTA 15:09.736-15:09.791
Tick 12501(12422), Delay 45 ms, IGT 10:20.771, RTA 15:12.241-15:12.286
Tick 12502(12423), Delay 55 ms, IGT 10:20.821, RTA 15:12.286-15:12.341
Tick 12520(12441), Delay 55 ms, IGT 10:21.721, RTA 15:13.186-15:13.241
Tick 12526(12447), Delay 45 ms, IGT 10:22.021, RTA 15:13.491-15:13.536
Tick 12550(12471), Delay 55 ms, IGT 10:23.221, RTA 15:14.686-15:14.741
Tick 12551(12472), Delay 45 ms, IGT 10:23.271, RTA 15:14.741-15:14.786
Tick 12553(12474), Delay 55 ms, IGT 10:23.371, RTA 15:14.836-15:14.891
Tick 12604(12525), Delay 63 ms, IGT 10:25.921, RTA 15:17.387-15:17.450
Tick 12605(12526), Delay 37 ms, IGT 10:25.971, RTA 15:17.450-15:17.487
Tick 12731(12652), Delay 55 ms, IGT 10:32.271, RTA 15:23.736-15:23.791
Tick 13079(13000), Delay 55 ms, IGT 10:49.671, RTA 15:41.136-15:41.191
Tick 13342(13263), Delay 45 ms, IGT 11:02.821, RTA 15:54.292-15:54.337
Tick 13346(13267), Delay 55 ms, IGT 11:03.021, RTA 15:54.487-15:54.542
Tick 13347(13268), Delay 45 ms, IGT 11:03.071, RTA 15:54.542-15:54.587
